WORD	ORIG	RATIO=B2/SUM(B:B)*11451419
新聞	126134	46157
台灣	124258	45470
軟體	108454	39687
網路	107919	39491
服務	102864	37641
系統	102055	37345
全球	101898	37288
資訊	99928	36567
資訊網	98953	36210
國立	89150	32623
資料	85127	31151
討論	82519	30197
提供	78537	28739
文章	77532	28372
相關	77439	28338
電腦	77345	28303
行政院	76883	28134
我們	74537	27276
股份有限公司	72420	26501
交通大學	66412	24302
廠商	65904	24117
一個	65753	24061
中央研究院	64775	23703
內容	64748	23694
問題	64333	23542
計算中心	64009	23423
科學技術	63516	23243
國家科學委員會	63253	23146
資料中心	63156	23111
使用	63028	23064
可以	61525	22514
研究	60784	22243
企業	59871	21909
科技	58810	21521
產品	58386	21365
查詢	57818	21158
教育	56219	20572
選單	55124	20172
電子	54370	19896
管理	53549	19595
設備	52875	19349
簡介	51254	18756
留言	50546	18497
中心	50424	18452
有限公司	49714	18192
台北市	48552	17767
發展	47778	17484
日期	47392	17342
活動	46488	17012
國際	44328	16221
一夜	44283	16205
一頁	44282	16204
一葉	44280	16204
遺業	44280	16204
胰液	44200	16174
工商	43240	15823
會員	42372	15505
一筆	41749	15277
政府	41691	15256
主題	41631	15234
支援	40561	14843
如何	40514	14825
八十	40415	14789
維護	39522	14462
電話	39101	14308
學生	38293	14013
資源	38207	13981
用戶	37886	13864
美國	37814	13837
名稱	37168	13601
大學	35747	13081
因爲	35499	12990
設計	35448	12972
目前	34892	12768
自己	34797	12733
學校	34787	12730
工作	34279	12544
如果	34223	12523
產業	34199	12515
其他	34169	12504
生活	34052	12461
發表	34052	12461
介紹	33686	12327
申請	33481	12252
台北	33023	12084
歡迎	32103	11748
世界	30817	11277
圖書館	30749	11252
市場	30542	11176
計畫	30341	11103
我的	29607	10834
中國	29568	10820
單位	29444	10775
教學	29140	10663
一張	29114	10654
處理	29034	10625
大家	28971	10601
工程	28739	10517
社會	28713	10507
回到	28708	10505
沒有	28543	10445
回應	28459	10414
意見	28364	10379
文化	28252	10338
姓名	28020	10253
大加	28000	10246
蔘與	27761	10159
主要	27694	10134
影響	27628	10110
方式	27527	10073
所以	27522	10071
說明	26713	9775
以上	26530	9708
這個	25909	9481
投資	25859	9463
中華民國	25670	9394
所有	25652	9387
希望	25649	9386
環境	25487	9327
中文	25477	9323
今天	25469	9320
報導	25454	9314
課程	25426	9304
建立	25410	9298
星期	25358	9279
資料庫	25194	9219
個人	25179	9214
日本	24369	8917
快訊	24074	8810
第二	23886	8741
分析	23807	8712
索引	23752	8692
搜尋	23684	8667
有關	23670	8662
就是	23667	8661
一般	23574	8627
台北縣	23571	8625
只有	23531	8611
國內	23511	8603
工業	23460	8585
出版	23407	8565
他們	23296	8525
她們	23295	8524
它們	23290	8523
因此	23278	8518
大陸	23271	8516
一向	23159	8475
一巷	23158	8474
一項	23158	8474
移向	23158	8474
移項	23158	8474
遺像	23158	8474
目錄	22999	8416
作者	22976	8408
檔案	22859	8365
業務	22704	8308
標題	22589	8266
廣告	22455	8217
畫面	22271	8150
分類	22235	8137
聯絡	22094	8085
但是	21957	8035
公告	21713	7946
傳真	21690	7937
政治	21609	7907
國家	21593	7902
高雄	21501	7868
以及	21485	7862
是否	21483	7861
應用	21340	7809
功能	21257	7779
建議	21059	7706
開始	21024	7693
由於	20999	7684
辦理	20830	7622
成立	20760	7597
登錄	20689	7571
音樂	20662	7561
對於	20650	7557
書籍	20549	7520
任何	20497	7501
地區	20483	7495
教師	20482	7495
什麼	20445	7482
家庭	20442	7480
輸入	20409	7468
編號	20353	7448
這些	20275	7419
訊息	20236	7405
現在	20223	7400
中央社	20208	7395
以你	20000	7319
利用	19938	7296
旅遊	19696	7207
無法	19681	7202
選擇	19626	7182
專業	19488	7131
機關	19451	7118
工具	19388	7095
組織	19347	7080
成爲	19346	7079
焦點	19223	7034
可能	19216	7032
健康	18970	6942
系列	18960	6938
規定	18787	6875
知道	18755	6863
不過	18703	6844
之道	18700	6843
未來	18677	6835
蔘考	18504	6771
信箱	18480	6762
研究所	18479	6762
高雄市	18426	6743
方法	18340	6711
包括	18289	6693
張貼	18245	6676
商業	18144	6640
必須	18116	6629
表示	18080	6616
製作	18058	6608
不同	17884	6544
作業	17854	6533
開發	17828	6524
第一	17820	6521
進行	17781	6507
民國	17758	6498
規劃	17661	6463
老師	17634	6453
結帳	17588	6436
請問	17572	6430
推薦	17466	6391
最後	17377	6359
英文	17248	6312
類別	17210	6298
協會	17171	6283
兩個	17146	6274
訓練	17061	6243
學系	16922	6192
同時	16778	6140
免費	16750	6129
學習	16666	6099
關於	16621	6082
二十	16614	6080
這是	16603	6076
機構	16584	6069
總計	16478	6030
這樣	16470	6027
以下	16458	6023
更新	16407	6004
需要	16391	5998
執行	16360	5987
遊戲	16334	5977
安全	16279	5957
汽車	16267	5953
已經	16164	5915
進口	16108	5894
使用者	15989	5851
增加	15976	5846
你的	15965	5842
留言板	15940	5833
一些	15925	5828
臺灣	15908	5821
一則	15890	5815
年度	15853	5801
報告	15824	5791
項目	15799	5781
橡木	15798	5781
休閒	15595	5707
今日	15515	5677
地址	15478	5664
讀者	15465	5659
雖然	15377	5627
藝術	15365	5623
完成	15322	5607
許多	15320	5606
我國	15282	5592
娛樂	15216	5568
中華	15180	5555
財經	15156	5546
經營	15156	5546
刊登	15079	5518
科學	15033	5501
通訊	14966	5477
社團	14937	5466
結果	14931	5464
基本	14905	5454
委員會	14829	5426
發現	14807	5418
作品	14753	5399
蔘加	14707	5382
國小	14705	5381
重要	14673	5369
回答	14561	5328
銀行	14560	5328
最新	14551	5325
特別	14517	5312
體育	14517	5312
加入	14325	5242
金融	14311	5237
也是	14303	5234
時報	14234	5209
文件	14213	5201
會議	14189	5192
會意	14188	5192
進入	14025	5132
最近	14013	5128
標準	14006	5125
兒童	13985	5118
消費	13977	5115
除了	13961	5109
一次	13949	5104
雜誌	13933	5099
發生	13932	5098
環保	13918	5093
台中縣	13859	5071
輔導	13746	5030
建築	13712	5018
多媒體	13698	5013
部份	13673	5003
還是	13663	5000
金額	13660	4999
辦法	13649	4995
醫療	13642	4992
爲了	13586	4972
行政	13461	4926
統計	13402	4904
之後	13336	4880
只要	13332	4879
股市	13331	4878
其中	13312	4871
認爲	13281	4860
都是	13258	4852
顯示	13239	4845
瀏覽	13238	4844
政策	13229	4841
各種	13185	4825
中央	13130	4805
社區	13125	4803
事業	13085	4788
還有	13060	4779
情報	13053	4777
預約	13014	4762
位址	13004	4759
發聲	13000	4757
醫師	12997	4756
關係	12997	4756
看到	12949	4738
比較	12944	4737
歷史	12943	4736
天地	12926	4730
非常	12900	4721
合作	12876	4712
造成	12804	4685
生命	12773	4674
桃園縣	12772	4674
先生	12761	4670
台灣省	12748	4665
家裏	12720	4655
佳里	12719	4654
朋友	12635	4624
醫院	12616	4617
運動	12599	4610
學術	12590	4607
而且	12580	4603
聊天	12539	4588
生產	12499	4574
第三	12498	4573
香港	12425	4547
地方	12402	4538
品質	12373	4528
證券	12361	4523
這種	12356	4521
其它	12258	4486
教授	12158	4449
美元	12143	4444
檢索	12143	4444
不要	12131	4439
營業	12079	4420
實業	12033	4403
投影	12017	4397
謝謝	12009	4395
一個月	11998	4390
製造	11987	4386
需求	11969	4380
治療	11906	4357
配合	11867	4343
醫學	11841	4333
光碟	11812	4322
七年	11800	4318
影視	11784	4312
代表	11702	4282
機械	11684	4276
教室	11668	4270
空間	11665	4269
基金	11664	4268
我要	11654	4265
共同	11645	4261
設定	11625	4254
覺得	11596	4243
紀錄	11580	4238
最佳	11577	4236
他的	11566	4232
只是	11561	4231
指示	11560	4230
影像	11550	4227
喜歡	11487	4203
台中	11480	4201
成長	11472	4198
要求	11458	4193
調查	11456	4192
各位	11424	4180
方面	11381	4165
直接	11363	4158
今年	11343	4151
自然	11290	4131
文字	11286	4130
電影	11276	4126
控制	11261	4121
保險	11187	4094
我們的	11183	4092
土地	11176	4090
蕃薯	11133	4074
自動	11129	4072
價格	11121	4070
學年度	11120	4069
一種	11107	4064
新台幣	11091	4059
高雄縣	11054	4045
能力	11032	4037
具有	11016	4031
目標	11009	4029
交流	10958	4010
實施	10948	4006
統一	10942	4004
暱稱	10936	4002
補給站	10922	3997
即時	10920	3996
彰化縣	10856	3973
材料	10835	3965
告訴	10825	3961
產生	10816	3958
本站	10785	3947
提出	10782	3946
媒體	10771	3941
六年	10740	3930
的話	10721	3923
透過	10709	3919
圖書	10695	3914
填寫	10624	3888
地點	10600	3879
一下	10576	3870
兩天	10550	3861
郵件	10509	3846
購買	10498	3842
