WORD	ORIG	RATIO=B2/SUM(B:B)*11451419
我們	38542	66502
可以	27918	48171
沒有	26800	46242
台灣	24044	41486
他們	19289	33282
一個	19112	32976
因爲	18911	32630
什麼	18087	31208
自己	16804	28994
所以	15035	25942
問題	14688	25343
這個	14009	24172
可能	13835	23871
如果	13269	22895
就是	13231	22829
這樣	12814	22110
現在	12011	20724
時候	11772	20312
政府	11719	20220
但是	11432	19725
工作	11259	19427
已經	11090	19135
研究	10974	18935
委員	10702	18466
這些	10646	18369
社會	10420	17979
應該	9858	17009
覺得	9856	17006
台北	9777	16870
知道	9477	16352
今天	9430	16271
學生	9348	16129
不過	9098	15698
還是	9049	15613
第一	8911	15375
目前	8900	15356
不是	8892	15343
美國	8809	15199
教育	8778	15146
比較	8777	15144
使用	8639	14906
公司	8497	14661
時間	8441	14564
開始	8432	14549
中國	8312	14342
希望	8157	14074
經濟	8120	14010
國家	8039	13871
表示	7875	13588
發展	7843	13533
認爲	7751	13374
一些	7496	12934
活動	7358	12696
很多	7221	12459
不會	7205	12432
生活	7158	12351
世界	7126	12295
文化	7125	12294
不能	7097	12245
大家	6961	12011
看到	6961	12011
怎麼	6899	11904
朋友	6717	11590
不同	6694	11550
地方	6650	11474
大學	6530	11267
方式	6487	11193
其實	6472	11167
進行	6470	11164
部分	6422	11081
出來	6412	11063
之後	6411	11062
二十	6402	11046
重要	6367	10986
以及	6359	10972
因此	6288	10850
需要	6265	10810
其他	6219	10730
日本	6168	10642
許多	6168	10642
國際	6124	10567
起來	6073	10479
然後	6041	10423
非常	6015	10378
新聞	6015	10378
雖然	5964	10290
個人	5963	10289
對於	5961	10285
必須	5953	10271
一樣	5928	10228
發現	5866	10121
網路	5773	9961
提供	5743	9909
孩子	5652	9752
能夠	5646	9742
方面	5594	9652
一定	5584	9635
由於	5566	9604
環境	5543	9564
除了	5530	9542
的話	5511	9509
東西	5499	9488
如何	5491	9474
中心	5425	9360
服務	5425	9360
系統	5411	9336
影響	5375	9274
成爲	5344	9221
關係	5332	9200
市場	5303	9150
學校	5159	8901
而且	5144	8876
紀錄	5084	8772
都是	5031	8681
資料	5027	8674
計畫	4951	8543
未來	4938	8520
只是	4912	8475
可是	4870	8403
設計	4859	8384
今年	4837	8346
老師	4821	8318
企業	4760	8213
國內	4749	8194
特別	4747	8191
電腦	4738	8175
民衆	4735	8170
藝術	4730	8161
大陸	4726	8154
不要	4716	8137
出現	4705	8118
還有	4692	8096
所有	4662	8044
一般	4641	8008
那麼	4641	8008
結果	4633	7994
資訊	4599	7935
人員	4586	7913
無法	4522	7802
同時	4475	7721
地區	4457	7690
最後	4442	7664
相關	4430	7644
一點	4421	7628
行政	4420	7626
發生	4388	7571
主要	4349	7504
第二	4311	7438
一直	4302	7423
政治	4285	7393
總統	4284	7392
透過	4278	7381
包括	4249	7331
你們	4240	7316
一下	4202	7250
自由	4189	7228
甚至	4185	7221
也是	4157	7173
真的	4157	7173
報導	4153	7166
相當	4144	7150
我的	4142	7147
過去	4133	7131
只有	4125	7117
管理	4120	7109
北市	4110	7092
自然	4086	7050
是不	4060	7005
處理	4019	6935
這麼	4018	6933
事情	3996	6895
這種	3985	6876
來的	3984	6874
好像	3978	6864
要求	3976	6860
提出	3961	6834
造成	3959	6831
媒體	3896	6722
決定	3895	6721
只要	3878	6691
歷史	3866	6671
代表	3853	6648
爲什麼	3848	6639
空間	3845	6634
技術	3828	6605
高雄	3824	6598
當然	3822	6595
他的	3810	6574
分之	3790	6539
完全	3787	6534
有的	3773	6510
十二	3763	6493
裏面	3751	6472
一起	3730	6436
不可	3722	6422
增加	3721	6420
那個	3718	6415
其中	3714	6408
內容	3712	6405
組織	3710	6401
喜歡	3705	6393
最近	3697	6379
以後	3696	6377
單位	3693	6372
觀光	3689	6365
任何	3681	6351
音樂	3679	6348
爲了	3676	6343
主義	3669	6331
這是	3667	6327
十五	3655	6306
機會	3650	6298
或是	3597	6206
運動	3595	6203
昨天	3563	6148
先生	3561	6144
是否	3560	6143
紀錄片	3544	6115
了解	3541	6110
是在	3539	6106
作品	3520	6074
電影	3520	6074
繼續	3495	6030
選擇	3491	6023
政策	3489	6020
三十	3461	5972
台北市	3454	5960
大的	3445	5944
討論	3437	5930
利用	3413	5889
十一	3410	5884
電視	3403	5872
建築	3388	5846
蔘加	3388	5846
資源	3382	5835
下來	3371	5816
有關	3366	5808
完成	3366	5808
指出	3354	5787
成立	3351	5782
投資	3343	5768
情況	3334	5753
辦法	3318	5725
開放	3316	5722
當時	3314	5718
另外	3254	5615
方法	3248	5604
受到	3234	5580
也不	3233	5578
過程	3201	5523
調查	3198	5518
部長	3190	5504
消費	3186	5497
之間	3180	5487
產業	3171	5471
推動	3151	5437
生命	3145	5426
傳統	3130	5401
中央	3120	5383
經驗	3109	5364
這一	3095	5340
有人	3094	5338
接受	3088	5328
百分	3075	5306
一種	3072	5301
不知	3068	5294
時代	3060	5280
所謂	3053	5268
業者	3052	5266
蔘與	3037	5240
基本	3036	5238
合作	3031	5230
經過	3020	5211
變成	3020	5211
會議	3017	5206
委員會	3017	5206
容易	3016	5204
國人	3009	5192
直接	3005	5185
大概	3003	5181
安全	3001	5178
一次	2994	5166
這樣的	2987	5154
一百	2967	5119
功能	2958	5104
團體	2954	5097
學習	2943	5078
以上	2941	5074
記者	2937	5068
產品	2933	5061
國民	2929	5054
民國	2927	5050
的問題	2913	5026
去年	2877	4964
那些	2850	4917
感覺	2847	4912
之前	2839	4898
規劃	2839	4898
產生	2827	4878
要的	2818	4862
事實	2810	4848
以前	2805	4840
解決	2804	4838
科技	2802	4835
法院	2798	4828
得到	2793	4819
開發	2773	4785
鍼對	2761	4764
保護	2755	4754
這裏	2752	4748
能力	2742	4731
建立	2741	4729
科學	2737	4723
五十	2722	4697
後來	2722	4697
行爲	2690	4641
規定	2687	4636
立法	2677	4619
電子	2666	4600
表現	2663	4595
價格	2654	4579
根據	2629	4536
授權	2627	4533
成長	2625	4529
至於	2621	4522
八十	2613	4509
進入	2610	4503
制度	2609	4502
建議	2607	4498
或者	2601	4488
創作	2573	4440
注意	2558	4414
會有	2541	4384
真正	2540	4383
一年	2534	4372
報告	2534	4372
精神	2526	4358
目的	2520	4348
是說	2518	4345
原因	2517	4343
在台	2512	4334
實在	2512	4334
故事	2506	4324
家庭	2506	4324
自己的	2501	4315
四十	2500	4314
共同	2498	4310
成功	2495	4305
支持	2494	4303
銀行	2491	4298
行政院	2489	4295
獲得	2488	4293
作者	2486	4289
樣子	2478	4276
生產	2473	4267
中華	2466	4255
電話	2460	4245
清楚	2450	4227
行動	2447	4222
執行	2447	4222
事件	2443	4215
之外	2440	4210
意見	2440	4210
交通	2438	4207
是有	2437	4205
人類	2435	4201
小時	2435	4201
公園	2427	4188
基金	2422	4179
立委	2418	4172
如此	2415	4167
具有	2406	4151
不少	2397	4136
告訴	2394	4131
改變	2394	4131
別人	2392	4127
教授	2388	4120
準備	2377	4101
似乎	2376	4100
第三	2373	4094
狀況	2368	4086
媽媽	2366	4082
人民	2358	4069
通過	2351	4056
同學	2346	4048
有時	2345	4046
面對	2344	4044
加上	2336	4031
正式	2336	4031
說明	2334	4027
價值	2332	4024
負責	2331	4022
多少	2330	4020
努力	2328	4017
工程	2324	4010
父母	2302	3972
我國	2301	3970
嚴重	2301	3970
現代	2284	3941
舉辦	2274	3924
不知道	2272	3920
到的	2269	3915
都市	2269	3915
不斷	2265	3908
出版	2264	3906
想要	2254	3889
關心	2253	3887
公共	2250	3882
經營	2249	3880
幾乎	2247	3877
意義	2243	3870
我覺得	2240	3865
小朋友	2239	3863
舉行	2232	3851
部份	2227	3843
目標	2225	3839
好的	2222	3834
標準	2217	3825
十三	2214	3820
小孩	2214	3820
你的	2211	3815
訓練	2211	3815
十年	2198	3792
十四	2197	3791
回來	2191	3780
專業	2189	3777
女性	2185	3770
分析	2178	3758
強調	2176	3755
實驗	2169	3742
情形	2167	3739
主席	2163	3732
競爭	2162	3730
作爲	2160	3727
十六	2155	3718
醫院	2147	3704
住民	2143	3698
動物	2141	3694
建設	2137	3687
曾經	2137	3687
考慮	2134	3682
原來	2133	3680
更多	2132	3679
也有	2130	3675
預算	2128	3672
例如	2127	3670
就會	2125	3667
多的	2122	3661
而是	2122	3661
軟體	2121	3660
民間	2114	3648
剛剛	2109	3639
兩個	2108	3637
教學	2104	3630
商業	2101	3625
存在	2095	3615
需求	2095	3615
到底	2083	3594
本身	2078	3585
衛生	2075	3580
並且	2074	3579
節目	2070	3572
實際	2065	3563
我們的	2065	3563
十八	2063	3560
申請	2062	3558
尤其	2061	3556
並不	2061	3556
以爲	2060	3554
年輕	2052	3541
網站	2050	3537
學者	2050	3537
人士	2048	3534
超過	2047	3532
土地	2029	3501
製作	2022	3489
看看	2018	3482
簡單	2018	3482
我不	2016	3478
有沒有	2016	3478
到了	2013	3473
配合	2013	3473
品質	2009	3466
來看	2002	3454
相信	1998	3447
我想	1997	3446
根本	1994	3441
原住民	1993	3439
不到	1989	3432
整個	1986	3427
七十	1985	3425
來自	1985	3425
顯示	1983	3422
條件	1972	3403
人家	1963	3387
中文	1959	3380
教育部	1958	3378
現象	1955	3373
知識	1952	3368
主任	1944	3354
全球	1938	3344
不得	1937	3342
之一	1933	3335
少年	1929	3328
有點	1924	3320
健康	1921	3315
於是	1913	3301
城市	1901	3280
正在	1899	3277
機構	1898	3275
人們	1896	3271
重新	1892	3265
十七	1890	3261
消費者	1890	3261
影片	1889	3259
也許	1885	3252
願意	1879	3242
限制	1878	3240
實施	1878	3240
星期	1872	3230
民進黨	1872	3230
六十	1869	3225
一切	1866	3220
我是	1866	3220
來說	1865	3218
持續	1865	3218
世紀	1864	3216
人生	1860	3209
加入	1855	3201
社區	1846	3185
不但	1838	3171
觀念	1838	3171
階段	1836	3168
國小	1834	3164
幫助	1833	3163
達到	1832	3161
積極	1829	3156
環保	1827	3152
認識	1825	3149
找到	1824	3147
當中	1823	3145
想到	1819	3139
觀察	1817	3135
常常	1815	3132
醫療	1808	3120
以來	1806	3116
即使	1806	3116
香港	1805	3114
課程	1803	3111
意思	1801	3108
老人	1800	3106
現場	1796	3099
會的	1795	3097
像是	1795	3097
興趣	1795	3097
都有	1785	3080
語言	1785	3080
擁有	1784	3078
兒童	1782	3075
兩岸	1780	3071
協助	1779	3070
生的	1777	3066
國民黨	1777	3066
方向	1765	3045
廣告	1765	3045
改善	1759	3035
態度	1758	3033
十分	1757	3032
事業	1757	3032
美元	1757	3032
院長	1750	3020
推出	1749	3018
新的	1749	3018
當地	1748	3016
責任	1746	3013
民主	1745	3011
聯合	1745	3011
專家	1744	3009
十九	1740	3002
歡迎	1737	2997
年代	1733	2990
英文	1730	2985
應用	1730	2985
母親	1727	2980
下午	1726	2978
另一	1724	2975
程度	1722	2971
法律	1719	2966
大部	1718	2964
原本	1711	2952
聲音	1708	2947
文學	1707	2945
使得	1707	2945
比賽	1706	2944
然而	1704	2940
學家	1703	2938
引起	1700	2933
都不	1697	2928
都會	1697	2928
創造	1696	2926
工業	1695	2925
同樣	1695	2925
鼓勵	1692	2919
發表	1691	2918
晚上	1690	2916
立法院	1688	2913
結合	1687	2911
身體	1684	2906
避免	1684	2906
有些	1683	2904
下去	1681	2900
提高	1681	2900
屬於	1681	2900
不管	1678	2895
文章	1678	2895
生物	1674	2888
基礎	1673	2887
就不	1669	2880
結構	1668	2878
一步	1667	2876
長期	1667	2876
導演	1663	2869
介紹	1660	2864
本來	1659	2862
主管	1655	2856
壓力	1643	2835
分別	1639	2828
學術	1638	2826
觀衆	1638	2826
治療	1633	2818
減少	1632	2816
不錯	1631	2814
年度	1631	2814
困難	1628	2809
生態	1627	2807
我也	1616	2788
至少	1614	2785
不僅	1613	2783
旅遊	1608	2774
期間	1608	2774
演出	1605	2769
每個	1601	2762
終於	1601	2762
經費	1601	2762
形成	1600	2761
控制	1600	2761
領域	1599	2759
溝通	1595	2752
通常	1594	2750
遊戲	1590	2743
重要的	1589	2742
快樂	1586	2737
員工	1585	2735
思考	1584	2733
選舉	1584	2733
上面	1580	2726
回到	1580	2726
計劃	1579	2724
角色	1578	2723
表演	1578	2723
效果	1577	2721
公視	1573	2714
勞工	1573	2714
三年	1570	2709
還沒	1570	2709
該是	1569	2707
文字	1568	2705
自我	1567	2704
學院	1565	2700
婦女	1563	2697
著作	1561	2693
他們的	1558	2688
英國	1557	2686
吸引	1554	2681
附近	1552	2678
程式	1550	2674
議題	1548	2671
有效	1547	2669
變化	1547	2669
高雄市	1547	2669
解釋	1546	2668
