WORD	ORIG	RATIO=B2/SUM(B:B)*11451419
之	327781	139317
回	225564	95872
是	182405	77528
上	168872	71776
我	160394	68172
有	153094	65070
中	148655	63183
的	147270	62594
地	147269	62594
得	147269	62594
了	125982	53546
或	123208	52367
人	120173	51077
年	112664	47886
下	111802	47519
您	103088	43816
試	102404	43525
和	101537	43156
他	101399	43098
她	101398	43097
所	100492	42712
大	95677	40666
而	91929	39073
對	91128	38732
你	89941	38228
也	84348	35850
時	83240	35380
十	83239	35379
不	82901	35235
請	80875	34374
區	80114	34051
日	79754	33898
於	78835	33507
月	77905	33112
者	77478	32931
小	77311	32860
頁	77248	32833
要	76337	32446
藥	76336	32445
名	73301	31155
本	73202	31113
可	73172	31100
三	71494	30387
來	69889	29705
等	69748	29645
後	66765	28377
這	66602	28308
其	66108	28098
騎	66108	28098
旗	66107	28097
奇	66100	28095
期	66100	28095
棋	66100	28095
齊	66100	28095
臍	66000	28052
鰭	66000	28052
到	65361	27780
倒	65358	27779
盜	65350	27776
二	64877	27575
但	63849	27138
用	61256	26036
元	59466	25275
原	59466	25275
員	59466	25275
園	59465	25274
圓	59465	25274
緣	59465	25274
第	59239	25178
弟	59238	25178
地	58528	24876
事	52404	22273
嗜	52404	22273
士	52404	22273
室	52404	22273
市	52404	22273
式	52404	22273
氏	52404	22273
陳	51707	21977
業	49775	21156
間	49543	21057
能	46954	19957
讓	45928	19521
至	44970	19114
此	44322	18838
說	43458	18471
四	43282	18396
內	42895	18232
站	42575	18096
佔	42574	18095
戰	42574	18095
暫	42000	17851
如	41812	17771
店	41203	17513
國	40672	17287
多	40382	17164
都	40050	17022
法	38381	16313
高	38068	16180
學	38014	16157
從	37802	16067
版	37733	16038
每	37565	15966
美	37565	15966
鎂	37564	15966
最	37526	15950
被	37337	15869
加	37052	15748
各	37051	15748
家	37051	15748
佳	37000	15726
嘉	37000	15726
組	36891	15680
給	36776	15631
個	36766	15627
再	36484	15507
在	36484	15507
載	36483	15506
華	35904	15260
全	35212	14966
型	34993	14873
行	34993	14873
刑	34992	14873
形	34992	14873
邢	34990	14872
一	34112	14499
張	34066	14479
章	34065	14479
依	34000	14451
衣	34000	14451
醫	34000	14451
今	33812	14371
金	33812	14371
則	33335	14168
姿	33296	14152
資	33295	14151
又	32981	14018
台	32727	13910
生	32705	13901
經	32383	13764
驚	32382	13763
鬼	32359	13754
精	32300	13728
就	32275	13718
救	32274	13717
舊	32274	13717
哪	32190	13682
那	32190	13682
總	31985	13595
天	31487	13383
五	31344	13322
系	31092	13215
屬	30916	13140
恕	30916	13140
署	30916	13140
數	30915	13140
暑	30915	13140
束	30915	13140
樹	30915	13140
術	30915	13140
豎	30915	13140
鼠	30915	13140
好	30909	13137
卡	30793	13088
苤	30692	13045
機	30641	13023
音	30409	12925
因	30408	12924
陰	30408	12924
民	30226	12847
子	30184	12829
圖	29988	12746
常	29977	12741
嚐	29976	12741
長	29976	12741
腸	29975	12740
無	29825	12677
字	29774	12655
自	29774	12655
水	29478	12529
該	29149	12389
王	28963	12310
亡	28962	12310
黃	28741	12216
去	28394	12068
看	28254	12009
明	28194	11983
心	28116	11950
新	28116	11950
出	28091	11940
薪	28000	11901
書	27993	11898
梳	27993	11898
輸	27993	11898
當	27938	11874
更	27903	11860
很	27890	11854
八	27729	11786
作	27179	11552
嗎	26437	11237
嘛	26436	11236
信	26305	11180
部	26188	11131
把	25773	10954
選	25749	10944
若	25542	10856
弱	25541	10856
見	25457	10820
件	25456	10820
賤	25456	10820
外	25091	10664
處	24669	10485
做	24148	10264
分	24141	10261
道	24036	10216
友	23874	10147
化	23783	10108
畫	23783	10108
話	23783	10108
只	23531	10001
指	23530	10001
止	23530	10001
紙	23530	10001
六	23418	9953
傳	23358	9928
調	23030	9788
條	23029	9788
別	23003	9777
鎮	22745	9667
千	22517	9570
牽	22500	9563
簽	22500	9563
答	22400	9521
達	22399	9520
倒	22352	9500
導	22350	9499
島	22350	9499
吳	22293	9475
郭	22013	9356
棄	21703	9224
器	21702	9224
氣	21702	9224
正	21462	9122
度	21361	9079
與	21354	9076
吧	21351	9075
啊	21187	9005
阿	21187	9005
點	20808	8844
七	20690	8794
妻	20659	8781
漆	20659	8781
客	20607	8759
課	20607	8759
欺	20600	8756
起	20421	8680
光	20415	8677
著	20366	8656
想	20353	8651
享	20352	8650
響	20352	8650
填	20240	8603
甜	20239	8602
田	20239	8602
品	20237	8601
偏	20223	8595
篇	20223	8595
特	20129	8555
樓	20055	8524
叫	20029	8513
較	20029	8513
教	20027	8512
校	20027	8512
東	20017	8508
冬	20016	8507
咚	20016	8507
克	20000	8501
嗑	20000	8501
搶	20000	8501
且	19961	8484
工	19861	8442
股	19836	8431
得	19827	8427
德	19826	8427
車	19764	8400
村	19697	8372
傷	19599	8330
商	19598	8330
射	19583	8323
設	19583	8323
攝	19582	8323
社	19582	8323
舍	19582	8323
情	19579	8322
曾	19479	8279
增	19478	8279
接	19429	8258
皆	19429	8258
街	19420	8254
階	19420	8254
們	19397	8244
門	19385	8239
萬	19239	8177
愛	19146	8138
餵	19034	8090
喂	19033	8090
為	19033	8090
位	19032	8089
偽	19032	8089
味	19032	8089
未	19032	8089
胃	19032	8089
衛	19030	8088
魏	19030	8088
尉	19000	8076
慰	19000	8076
殤	19000	8076
畏	19000	8076
蔚	19000	8076
觴	19000	8076
謂	19000	8076
過	18944	8052
發	18848	8011
公	18783	7983
它	18651	7927
營	18638	7922
及	18348	7798
真	18312	7783
即	18300	7778
吉	18300	7778
急	18300	7778
級	18300	7778
集	18300	7778
薄	18231	7749
伯	18230	7748
博	18230	7748
顆	18089	7688
刻	18088	7688
科	18088	7688
柯	18087	7688
