WORD	ORIG	RATIO=B2/SUM(B:B)*11451419
的	611140	444974
是	232742	169461
一	211454	153961
不	169235	123221
有	168629	122780
在	148065	107807
我	135355	98553
人	127635	92932
這	112001	81549
了	107766	78465
個	100891	73459
以	98286	71563
會	95624	69624
大	90889	66177
為	89874	65438
來	86842	63230
中	80583	58673
要	80396	58537
國	77292	56277
他	76439	55656
到	76302	55556
就	74117	53965
上	72627	52880
們	71857	52319
可	70105	51044
也	65623	47780
年	64936	47280
時	64863	47227
生	61824	45014
學	58651	42704
出	58338	42476
能	57070	41553
之	53580	39012
台	53538	38981
對	51736	37669
成	51303	37354
多	51047	37168
用	50778	36972
過	49144	35782
家	49021	35692
都	48723	35475
所	48669	35436
地	48345	35200
說	48314	35178
後	47725	34749
得	47460	34556
而	46501	33858
自	45068	32814
作	44861	32664
於	44046	32070
十	43910	31971
下	43092	31376
行	42764	31137
與	42665	31065
法	42553	30983
你	42093	30648
好	41991	30574
發	41691	30355
經	41590	30282
子	41371	30122
天	40812	29715
那	40688	29625
現	40268	29319
方	38620	28119
看	38298	27885
和	38063	27714
沒	38005	27672
分	37861	27567
因	37819	27536
公	37801	27523
動	37392	27225
如	37123	27029
很	37054	26979
民	36784	26783
前	36428	26523
小	36401	26504
還	36095	26281
去	35916	26151
本	35786	26056
麼	35118	25570
開	34765	25313
長	34659	25235
部	34609	25199
然	34467	25096
文	34392	25041
心	34210	24908
業	34063	24801
事	33756	24578
者	33717	24550
主	33369	24296
新	33201	24174
面	32907	23960
政	32904	23958
當	32406	23595
其	31841	23184
三	31815	23165
但	31677	23064
同	31665	23055
日	31419	22876
工	31079	22629
定	30998	22570
最	30927	22518
實	30388	22126
及	29980	21829
高	29298	21332
將	29101	21189
樣	28996	21112
理	28776	20952
著	28700	20897
二	28669	20874
外	28464	20725
間	28385	20667
體	28233	20557
種	28200	20533
些	27645	20128
進	27204	19807
員	27196	19802
想	27191	19798
意	26912	19595
市	26830	19535
力	26658	19410
教	26644	19400
性	26327	19169
電	26263	19122
重	26209	19083
只	26127	19023
關	25706	18717
點	25646	18673
全	25425	18512
問	25179	18333
由	25104	18278
灣	25041	18232
應	24771	18036
美	24722	18000
果	24691	17978
內	24216	17632
起	24064	17521
資	24019	17488
機	24016	17486
道	23966	17450
表	23917	17414
已	23799	17328
位	23702	17258
或	23587	17174
情	23426	17057
加	23318	16978
做	23240	16921
裡	23168	16869
等	23137	16846
兩	23119	16833
化	22840	16630
比	22814	16611
立	22745	16561
合	22517	16395
相	22508	16388
場	22498	16381
正	22428	16330
無	22141	16121
度	21942	15976
題	21807	15878
提	21725	15818
此	21459	15624
常	21378	15565
從	21315	15520
月	21280	15494
目	21220	15450
明	21039	15319
並	21027	15310
第	20982	15277
使	20474	14907
社	20382	14840
五	20351	14818
期	19438	14153
名	19407	14130
四	19278	14036
式	19205	13983
更	19074	13888
今	18997	13832
代	18978	13818
知	18845	13721
次	18705	13619
被	18685	13605
水	18672	13595
入	18602	13544
像	18583	13530
老	18557	13511
活	18468	13447
建	18416	13409
物	18409	13404
各	18338	13352
什	18268	13301
再	18068	13155
影	18052	13144
產	17979	13091
計	17888	13024
保	17879	13018
才	17776	12943
讓	17723	12904
院	17659	12858
回	17607	12820
區	17515	12753
北	17469	12719
己	17444	12701
路	17419	12683
委	17388	12660
原	17272	12576
利	17251	12561
統	17216	12535
手	17066	12426
品	16995	12374
該	16991	12371
她	16973	12358
展	16908	12311
通	16791	12226
少	16697	12157
把	16660	12130
觀	16634	12111
金	16571	12065
話	16527	12033
受	16479	11998
設	16427	11961
特	16274	11849
書	16227	11815
報	16178	11779
百	16150	11759
選	16093	11717
又	16089	11714
女	15980	11635
東	15953	11615
