WORD	ORIG	RATIO=B2/SUM(B:B)*11451419
的	4822928	1171840
了	1512483	367492
我	1191912	289602
是	1180106	286734
在	974219	236709
你	972978	236407
和	665031	161584
有	613999	149185
不	590801	143549
就	558574	135718
都	407808	99086
也	404779	98350
要	397297	96532
吧	385554	93679
好	378951	92075
他	344401	83680
說	340332	82691
去	331354	80510
到	297457	72274
沒	296233	71977
還	286212	69542
上	285526	69375
對	280800	68227
那	270779	65792
人	250956	60975
個	246257	59834
看	245657	59688
中	243870	59254
呢	242959	59032
來	235090	57120
嗎	221081	53717
爲	211329	51347
會	209833	50984
她	204714	49740
與	203964	49558
給	192996	46893
等	183329	44544
這	181776	44167
用	168923	41044
把	166222	40387
下	164421	39950
恩	162561	39498
能	162177	39405
很	160978	39113
多	154899	37636
做	154888	37634
想	142577	34642
點	138948	33761
被	138923	33754
地	137626	33439
而	136709	33217
一	135314	32878
後	135175	32844
又	133689	32483
從	128082	31120
再	121531	29529
將	120425	29260
時	119072	28931
但	116404	28283
過	112999	27456
打	108710	26414
大	107094	26021
年	106172	25797
麼	104045	25280
啦	103305	25100
以	101238	24598
買	101135	24573
讓	99107	24080
嗯	96536	23456
着	94513	22964
小	92897	22571
得	90228	21923
先	85126	20683
啊	84662	20571
或	84145	20445
呀	79996	19437
找	78886	19167
新	78195	18999
及	78069	18969
跟	75463	18335
於	73580	17878
太	72029	17501
嘛	71478	17367
號	71247	17311
日	71052	17264
才	69970	17001
可	69815	16963
比	69515	16890
玩	67947	16509
們	66889	16252
最	66766	16222
月	66349	16121
真	66051	16049
發	65932	16020
喫	65597	15938
並	63101	15332
它	59779	14525
其	59071	14353
話	58786	14283
請	57002	13850
錢	56657	13766
叫	56532	13736
開	55913	13585
出	55335	13445
誰	54727	13297
哈	54417	13222
當	53829	13079
向	52646	12792
家	52560	12771
問	50737	12328
之	50505	12271
更	49653	12064
該	49284	11975
走	49021	11911
快	48871	11874
別	48768	11849
前	47701	11590
由	47431	11524
高	46097	11200
您	45322	11012
裏	45267	10999
加	44999	10934
所	44995	10933
天	44972	10927
卻	44530	10820
已	44260	10754
里	44140	10725
內	41913	10184
寫	41835	10165
啥	41314	10038
老	40818	9918
搞	40736	9898
行	39910	9697
事	39845	9681
拿	39456	9587
帶	39436	9582
如	38846	9439
死	37593	9134
賣	36565	8884
暈	36316	8824
像	35573	8643
使	35310	8579
剛	34235	8318
成	34039	8271
無	33776	8207
換	33491	8137
只	33360	8106
哪	33103	8043
愛	32742	7955
回	32389	7870
聽	32132	7807
少	32015	7779
元	31862	7742
卡	31731	7710
靠	31445	7640
幫	31037	7541
算	30805	7485
者	30711	7462
忙	30469	7403
起	30341	7372
各	29921	7270
學	29808	7243
分	29738	7226
咯	29715	7220
總	29524	7174
則	29355	7132
水	28524	6931
張	28350	6888
改	28283	6872
唉	28137	6837
三	27727	6737
見	27521	6687
連	27493	6680
車	27026	6567
放	26912	6539
全	26794	6510
按	26702	6488
區	26394	6413
萬	26364	6406
機	26348	6402
早	26157	6355
拉	26133	6350
弄	26131	6349
本	25841	6279
偶	25662	6235
頁	25616	6224
進	25597	6219
性	25403	6172
第	25378	6166
完	24942	6060
同	24908	6052
花	24645	5988
長	24093	5854
怕	23660	5749
女	23625	5740
講	23574	5728
殺	23347	5673
組	23345	5672
錯	23056	5602
些	22871	5557
住	22827	5546
名	22727	5522
跑	22665	5507
次	22258	5408
網	22245	5405
睡	22070	5362
裝	21876	5315
哦	21790	5294
挺	21586	5245
王	21574	5242
圖	21562	5239
掉	21526	5230
路	21443	5210
正	21431	5207
外	21373	5193
二	21289	5173
頭	21237	5160
應	21211	5154
生	21194	5150
心	21110	5129
因	20789	5051
子	20680	5025
強	20401	4957
類	20207	4910
作	20186	4905
送	20106	4885
書	20065	4875
每	20025	4866
法	19425	4720
乖	19261	4680
拍	19173	4659
市	19057	4630
撒	18783	4564
至	18700	4544
接	18638	4529
美	18573	4513
表	18480	4490
未	18460	4485
辦	18422	4476
非	18382	4466
級	18324	4452
即	18246	4433
哎	18219	4427
此	18152	4410
差	18144	4408
版	18059	4388
併	17967	4365
副	17939	4359
系	17862	4340
收	17737	4310
男	17698	4300
俺	17692	4299
字	17656	4290
兩	17606	4278
股	17578	4271
轉	17525	4258
便	17499	4252
考	17459	4242
塊	17450	4240
線	17279	4198
手	17113	4158
黃	17102	4155
道	17091	4153
米	16910	4109
座	16908	4108
豬	16829	4089
聊	16780	4077
取	16711	4060
低	16647	4045
難	16589	4031
哇	16583	4029
兒	16366	3976
受	16288	3958
